model,repeat,fold,n,events,cindex
frozen,0,0,15,4,0.7272727272727273
frozen,0,1,15,4,0.8333333333333334
frozen,0,2,15,4,0.7241379310344828
frozen,0,3,15,4,0.7096774193548387
frozen,0,4,15,4,0.9
frozen,1,0,15,4,0.8571428571428571
frozen,1,1,15,4,0.48148148148148145
frozen,1,2,15,4,0.5925925925925926
frozen,1,3,15,4,0.8125
frozen,1,4,15,4,0.8928571428571429
frozen,2,0,15,4,0.875
frozen,2,1,15,4,0.7916666666666666
frozen,2,2,15,4,0.45454545454545453
frozen,2,3,15,4,0.8787878787878788
frozen,2,4,15,4,0.6333333333333333
adapted,0,0,15,4,0.8484848484848485
adapted,0,1,15,4,0.8888888888888888
adapted,0,2,15,4,0.7931034482758621
adapted,0,3,15,4,0.8064516129032258
adapted,0,4,15,4,0.9
adapted,1,0,15,4,0.8214285714285714
adapted,1,1,15,4,0.5185185185185185
adapted,1,2,15,4,0.7777777777777778
adapted,1,3,15,4,0.875
adapted,1,4,15,4,0.8571428571428571
adapted,2,0,15,4,0.875
adapted,2,1,15,4,0.7916666666666666
adapted,2,2,15,4,0.6363636363636364
adapted,2,3,15,4,0.9090909090909091
adapted,2,4,15,4,0.6
