model,repeat,fold,n,events,cindex
full,0,0,15,4,0.7575757575757576
full,0,1,15,4,0.8888888888888888
full,0,2,15,4,0.896551724137931
full,0,3,15,4,0.9032258064516129
full,0,4,15,4,0.8666666666666667
full,1,0,15,4,0.7857142857142857
full,1,1,15,4,0.7777777777777778
full,1,2,15,4,0.8518518518518519
full,1,3,15,4,0.8125
full,1,4,15,4,0.8928571428571429
full,2,0,15,4,0.8125
full,2,1,15,4,0.9583333333333334
full,2,2,15,4,0.7272727272727273
full,2,3,15,4,0.8484848484848485
full,2,4,15,4,0.5
renal_crop,0,0,15,4,0.5757575757575758
renal_crop,0,1,15,4,0.7777777777777778
renal_crop,0,2,15,4,0.7931034482758621
renal_crop,0,3,15,4,0.7419354838709677
renal_crop,0,4,15,4,0.7
renal_crop,1,0,15,4,0.7142857142857143
renal_crop,1,1,15,4,0.5185185185185185
renal_crop,1,2,15,4,0.5925925925925926
renal_crop,1,3,15,4,0.75
renal_crop,1,4,15,4,0.8928571428571429
renal_crop,2,0,15,4,0.78125
renal_crop,2,1,15,4,0.9166666666666666
renal_crop,2,2,15,4,0.6363636363636364
renal_crop,2,3,15,4,0.7272727272727273
renal_crop,2,4,15,4,0.36666666666666664
renal_letterbox,0,0,15,4,0.7575757575757576
renal_letterbox,0,1,15,4,0.8333333333333334
renal_letterbox,0,2,15,4,0.7931034482758621
renal_letterbox,0,3,15,4,0.9354838709677419
renal_letterbox,0,4,15,4,0.6666666666666666
renal_letterbox,1,0,15,4,0.6428571428571429
renal_letterbox,1,1,15,4,0.5555555555555556
renal_letterbox,1,2,15,4,0.6666666666666666
renal_letterbox,1,3,15,4,0.8125
renal_letterbox,1,4,15,4,0.9285714285714286
renal_letterbox,2,0,15,4,0.75
renal_letterbox,2,1,15,4,0.6666666666666666
renal_letterbox,2,2,15,4,0.8181818181818182
renal_letterbox,2,3,15,4,0.7878787878787878
renal_letterbox,2,4,15,4,0.43333333333333335
