repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,mamba,214,64,0.695386961494472,190,53,0.7282344779743323,24,11,0.5135135135135135
0,attention,214,64,0.6589147286821705,190,53,0.6805411030176899,24,11,0.47297297297297297
0,ensemble_train_percentile50,214,64,0.7017410090227475,190,53,0.7194762400277489,24,11,0.4831081081081081
0,ensemble_raw50,214,64,0.6890329139661965,190,53,0.7178286507110648,24,11,0.5
0,ensemble_train_z50,214,64,0.7007243614182234,190,53,0.7171349288935137,24,11,0.5135135135135135
1,mamba,214,64,0.6758164951073834,190,53,0.7004856052722858,24,11,0.5675675675675675
1,attention,214,64,0.6972931757529547,190,53,0.7022199098161637,24,11,0.5945945945945946
1,ensemble_train_percentile50,214,64,0.7139407802770364,190,53,0.7300554977454041,24,11,0.6081081081081081
1,ensemble_raw50,214,64,0.6923370186808997,190,53,0.7091571279916753,24,11,0.5878378378378378
1,ensemble_train_z50,214,64,0.7119074850679883,190,53,0.7266736038848421,24,11,0.6148648648648649
2,mamba,214,64,0.6891599949167619,190,53,0.6940686784599376,24,11,0.6216216216216216
2,attention,214,64,0.6690812047274114,190,53,0.6897329171002428,24,11,0.5135135135135135
2,ensemble_train_percentile50,214,64,0.7051086542127335,190,53,0.7207769684356573,24,11,0.5540540540540541
2,ensemble_raw50,214,64,0.689414156817893,190,53,0.6980575789108567,24,11,0.6013513513513513
2,ensemble_train_z50,214,64,0.6998347947642648,190,53,0.7145334720776968,24,11,0.5675675675675675
